patch_id,fold,tile,x_epsg2154,y_epsg2154,lon,lat
10027,4,t30uxv,445001.901602,6892944.727624,-0.49181226,49.08559109
10028,3,t30uxv,378829.567014,6950717.860277,-1.44069031,49.57440387
10029,5,t30uxv,450117.036816,6909239.911750,-0.43154808,49.23396960
10030,1,t30uxv,465916.044832,6897742.105878,-0.20842145,49.13666138
10031,5,t30uxv,445704.466066,6918571.002234,-0.49773824,49.31603144
10032,5,t30uxv,399048.774315,6879804.378098,-1.11065976,48.94768664
10033,1,t30uxv,365565.206264,6911918.337335,-1.59251743,49.21941251
10034,4,t30uxv,367137.480750,6882260.652913,-1.54754593,48.95401671
10035,4,t30uxv,367431.855175,6886090.273940,-1.54654227,48.98854893
10036,4,t30uxv,447446.878885,6874782.053296,-0.44752303,48.92339611
10037,5,t30uxv,395707.996176,6853101.033543,-1.13711537,48.70629072
10038,4,t30uxv,441973.954145,6920144.551251,-0.54995380,49.32866617
10039,4,t30uxv,387375.256912,6944919.808523,-1.31839160,49.52663485
10040,1,t30uxv,448543.695558,6905509.836250,-0.45088954,49.19985144
10041,1,t30uxv,381482.380036,6951798.021605,-1.40491959,49.58543024
10042,5,t30uxv,429679.695903,6877440.094091,-0.69141078,48.94005437
10043,3,t30uxv,438134.921419,6903748.466394,-0.59244339,49.17985969
10044,3,t30uxv,450810.353163,6918174.794319,-0.42736140,49.31448528
10045,4,t30uxv,452570.725779,6907765.513941,-0.39702375,49.22168065
10046,2,t30uxv,451185.203252,6889897.876638,-0.40544938,49.06064915
10047,5,t30uxv,443052.471169,6917492.532288,-0.53350362,49.30528538
10048,2,t30uxv,368119.643674,6878333.022851,-1.53108146,48.91926309
10049,4,t30uxv,413180.277094,6846620.585189,-0.89561863,48.65606727
10050,3,t30uxv,371165.540478,6851136.986936,-1.46859623,48.67662814
10051,4,t30uxv,460525.942899,6911000.039989,-0.28978185,49.25375994
10052,5,t30uxv,370083.115190,6887170.537787,-1.51121880,48.99961337
10053,3,t30uxv,463760.057885,6903045.062017,-0.24092057,49.18350712
10054,1,t30uxv,455409.523982,6894705.822034,-0.35049287,49.10546365
10055,4,t30uxv,459040.084296,6891856.534286,-0.29918859,49.08124189
10056,1,t30uxv,464243.641176,6892736.611989,-0.22851488,49.09108149
10057,1,t30uxv,456498.774445,6908744.694188,-0.34372839,49.23198230
10058,2,t30uxv,380786.703604,6892767.600155,-1.36939396,49.05527068
10059,2,t30uxv,448929.507039,6893924.307373,-0.43868193,49.09593949
10060,1,t30uxv,390619.572228,6953662.339230,-1.28020448,49.60667192
10061,5,t30uxv,407100.744665,6884319.295129,-1.00399404,48.99195121
10062,4,t30uxv,370280.119342,6873030.960025,-1.49753045,48.87277029
10063,3,t30uxv,462769.472367,6890283.406314,-0.24729908,49.06849908
10064,1,t30uxv,373226.345866,6861249.240387,-1.44838413,48.76848153
10065,1,t30uxv,387954.350208,6885795.221321,-1.26632493,48.99619268
10066,4,t30uxv,463352.651342,6881251.953531,-0.23426444,48.98757381
10067,5,t30uxv,389145.219767,6951206.685954,-1.29871392,49.58391750
10068,1,t30uxv,468753.714145,6884684.050763,-0.16240536,49.02037648
10069,4,t30uxv,367431.330136,6902784.652447,-1.55971399,49.13840618
10070,2,t30uxv,384624.087051,6942562.768131,-1.35452406,49.50412628
10071,1,t30uxv,437838.362770,6899919.351012,-0.59411681,49.14534801
10072,4,t30uxv,460811.338446,6898138.377579,-0.27853387,49.13833650
10073,5,t30uxv,370377.620346,6891000.257951,-1.51018839,49.03414475
10074,3,t30uxv,406212.099521,6856143.228716,-0.99664261,48.73848054
10075,2,t30uxv,379313.508453,6856929.811388,-1.36244430,48.73274569
10076,3,t30uxv,447960.310942,6914543.561965,-0.46432114,49.28075622
10077,3,t30uxv,452768.801068,6910318.218144,-0.39581395,49.24468469
10078,2,t30uxv,465696.931389,6861816.254409,-0.19152991,48.81379378
10079,1,t30uxv,428995.404775,6885196.153210,-0.70570849,49.00943405
10080,5,t30uxv,365076.274588,6872146.869745,-1.56765943,48.86214778
10081,4,t30uxv,438530.450223,6908854.116302,-0.59020720,49.22587488
10082,5,t30uxv,456883.703823,6897159.244942,-0.33174023,49.12806331
10083,5,t30uxv,430180.087042,6900512.186682,-0.69933740,49.14749362
10084,5,t30uxv,466102.656203,6883606.052256,-0.19802371,49.00973128
10085,3,t30uxv,392373.939196,6893159.166424,-1.21137960,49.06444441
10086,1,t30uxv,446188.912932,6908260.509994,-0.48482884,49.22362714
10087,2,t30uxv,441667.388558,6899622.778604,-0.54151126,49.14423928
10088,4,t30uxv,393352.092700,6855849.868694,-1.17105897,48.72986613
10089,1,t30uxv,440004.720507,6911308.090241,-0.57151485,49.24851406
10090,4,t30uxv,443132.678105,6885386.252001,-0.51277335,49.01695008
10091,5,t30uxv,456074.583357,6853576.811841,-0.31773528,48.73618627
10092,3,t30uxv,372736.911292,6938340.555383,-1.51497410,49.46024150
10093,5,t30uxv,417415.657383,6901499.327044,-0.87473194,49.15085668
10094,1,t30uxv,369690.518169,6882064.397821,-1.51258963,48.95357118
10096,5,t30uxv,454243.295619,6912771.899160,-0.37702644,49.26729068
10097,3,t30uxv,410146.061859,6890504.263883,-0.96667800,49.04887613
10098,5,t30uxv,384135.229931,6952878.117658,-1.36913296,49.59644535
10099,4,t30uxv,466399.689220,6887434.181894,-0.19608428,49.04423291
10100,4,t30uxv,421245.067400,6901203.305841,-0.82211017,49.14987572
10101,5,t30uxv,445694.172834,6901878.733136,-0.48774508,49.16611261
10102,5,t30uxv,385116.728130,6948948.162779,-1.35259071,49.56166909
10103,3,t30uxv,419560.359771,6846128.771158,-0.80877754,48.65444732
10104,5,t30uxv,432140.257523,6892656.499902,-0.66750266,49.07776147
10105,1,t30uxv,437541.879323,6896090.338623,-0.59578703,49.11083608
10106,2,t30uxv,437451.801073,6911505.921773,-0.60665943,49.24924789
10107,2,t30uxv,403856.439574,6858892.209081,-1.03054045,48.76209664
10108,5,t30uxv,380491.897826,6888937.950106,-1.37052256,49.02074174
10109,5,t30uxv,467180.682831,6880955.036507,-0.18184030,48.98630420
10110,1,t30uxv,443834.036030,6911011.253529,-0.51880068,49.24739329
10111,5,t30uxv,461306.681718,6904519.497316,-0.27537804,49.19584168
10112,5,t30uxv,432634.087875,6899038.238835,-0.66480337,49.13528454
10113,4,t30uxv,443636.126347,6908458.425968,-0.51995349,49.22438706
10114,5,t30uxv,469831.670356,6882033.021145,-0.14623565,48.99694469
10115,5,t30uxv,385605.578715,6938633.190795,-1.33802174,49.46934784
10116,3,t30uxv,408272.700028,6849566.015663,-0.96416966,48.68033167
10117,5,t30uxv,430484.865985,6921035.047138,-0.70836969,49.33191748
10118,1,t30uxv,376956.732545,6876369.540896,-1.40918967,48.90613072
10119,3,t30uxv,424482.195423,6893248.773642,-0.77258579,49.07983817
10120,1,t30uxv,418698.826557,6918094.579304,-0.86830414,49.30043446
10121,5,t30uxv,461779.826473,6877522.850000,-0.25363717,48.95348813
10122,4,t30uxv,468743.044316,6867997.788922,-0.15344288,48.87044182
10123,4,t30uxv,470835.432253,6911482.894714,-0.14857272,49.26187443
10124,4,t30uxv,423392.241338,6862520.554523,-0.76742801,48.80336172
10125,1,t30uxv,450188.706803,6860449.806890,-0.40171867,48.79569387
10126,4,t30uxv,433128.121570,6905420.263127,-0.66209549,49.19280691
10127,2,t30uxv,461691.377603,6892934.672470,-0.26353877,49.09191770
10128,3,t30uxv,448426.624738,6870855.132974,-0.43183741,48.88849926
10129,1,t30uxv,381577.628645,6936374.644998,-1.39175416,49.44707926
10130,1,t30uxv,377448.659154,6849370.459513,-1.38205980,48.66392937
10131,1,t30uxv,426153.381556,6898255.617412,-0.75299323,49.12552000
10132,2,t30uxv,399931.617349,6874600.604358,-1.09494003,48.90136639
10133,1,t30uxv,426837.527929,6890498.712623,-0.73860177,49.05614602
10134,3,t30uxv,388943.892930,6931952.868730,-1.28705118,49.41103255
10135,4,t30uxv,371850.594207,6893455.267207,-1.49198627,49.05693799
10136,1,t30uxv,467961.800110,6874476.240977,-0.16762655,48.92837383
10137,1,t30uxv,381870.228059,6923506.971909,-1.37789730,49.33174260
10138,3,t30uxv,385892.922633,6892374.400706,-1.29934642,49.05425949
10139,1,t30uxv,401604.855374,6896299.678950,-1.08746153,49.09700228
10140,4,t30uxv,385897.678398,6925765.392944,-1.32428583,49.35400645
10141,5,t30uxv,370475.878428,6908971.883791,-1.52291673,49.19551424
10142,5,t30uxv,460019.273889,6887929.172354,-0.28356237,49.04632669
10143,4,t30uxv,422219.533208,6880584.246181,-0.79519187,48.96511710
10144,2,t30uxv,443923.376263,6895596.121364,-0.50817364,49.10897714
10145,2,t30uxv,423782.034858,6850937.547270,-0.75463116,48.69946872
10146,3,t30uxv,433595.871729,6845045.971694,-0.61775531,48.65065316
10147,1,t30uxv,429390.171004,6890301.319768,-0.70359019,49.05545434
10148,2,t30uxv,418297.523265,6896294.861311,-0.85917433,49.10450804
10149,4,t30uxv,433919.000351,6915632.112403,-0.65774488,49.28484129
10150,2,t30uxv,376566.044700,6921346.769486,-1.44906370,49.30969095
10151,1,t30uxv,469633.651483,6879481.067144,-0.14754980,48.97394443
10152,2,t30uxv,418189.292616,6861638.357899,-0.83759872,48.79318421
10153,1,t30uxv,418583.179061,6866742.946498,-0.83561727,48.83921037
10154,2,t30uxv,422510.167115,6867723.591008,-0.78281598,48.84972239
10155,1,t30uxv,364387.127675,6896597.558429,-1.59642560,49.08128507
10156,5,t30uxv,407097.377842,6867628.916991,-0.99251353,48.84205028
10157,1,t30uxv,424772.049654,6880387.043605,-0.76024270,48.96444352
10158,1,t30uxv,463550.583083,6883804.024199,-0.23298960,49.01057572
10159,4,t30uxv,440400.499186,6916413.991373,-0.56925375,49.29452799
10160,2,t30uxv,469435.671278,6876929.155242,-0.14886228,48.95094406
10161,4,t30uxv,382365.469750,6946591.000006,-1.38873395,49.53915007
10162,5,t30uxv,405622.227351,6848486.539356,-0.99938230,48.66943287
10163,2,t30uxv,449226.270034,6897753.054008,-0.43690357,49.13044740
10164,3,t30uxv,456895.139956,6913850.088455,-0.34125680,49.27798822
10165,4,t30uxv,415461.324025,6926050.960197,-0.91817668,49.37043320
10166,4,t30uxv,420840.012338,6862717.542121,-0.80226528,48.80403152
10167,2,t30uxv,366155.017692,6936278.121451,-1.60391814,49.43832146
10168,5,t30uxv,458527.519233,6852103.548408,-0.28357769,48.72386894
10169,5,t30uxv,417508.660548,6886083.794096,-0.86312582,49.01245812
10170,4,t30uxv,463334.458688,6847881.294482,-0.21594821,48.68770335
10171,2,t30uxv,411729.819927,6927623.951187,-0.97056280,49.38287980
10172,1,t30uxv,367922.353554,6909168.343884,-1.55804337,49.19595822
10173,4,t30uxv,444788.928711,6857016.707108,-0.47309953,48.76273295
10174,1,t30uxv,371949.079121,6878038.640917,-1.47868411,48.91858370
10175,4,t30uxv,453234.315111,6866632.069520,-0.36388076,48.85241592
10176,5,t30uxv,451096.365074,6905311.861570,-0.41578414,49.19907081
10177,3,t30uxv,427536.253564,6916126.423852,-0.74567888,49.28659117
10178,1,t30uxv,450612.218189,6915621.910548,-0.42855950,49.29148094
10179,3,t30uxv,415538.589902,6860559.114238,-0.87291719,48.78232583
10180,1,t30uxv,465310.986794,6873398.173659,-0.20317749,48.91772565
10181,5,t30uxv,407491.016883,6872733.928166,-0.99067081,48.88808059
10182,5,t30uxv,380599.270747,6957005.297349,-1.42113491,49.63170808
10183,1,t30uxv,379119.745364,6921150.050490,-1.41385805,49.30921301
10184,2,t30uxv,460297.105368,6858383.959336,-0.26306923,48.78096625
10185,4,t30uxv,446459.551719,6862021.857384,-0.45337053,48.80836365
10186,3,t30uxv,451670.351242,6879589.937879,-0.39275943,48.96823485
10187,1,t30uxv,432232.075569,6877242.796172,-0.65648164,48.93934962
10188,1,t30uxv,463958.288312,6905597.529824,-0.23963999,49.20650838
10189,4,t30uxv,445990.990765,6905707.764276,-0.48599645,49.20062141
10190,5,t30uxv,438896.518210,6847203.729051,-0.54718597,48.67220402
10191,5,t30uxv,365663.617176,6929893.051101,-1.60554949,49.38077071
10192,4,t30uxv,451868.054817,6882142.130923,-0.39155841,48.99123983
10193,5,t30uxv,422324.132429,6898551.730157,-0.80558682,49.12653210
10194,1,t30uxv,414566.812926,6897867.179958,-0.91126616,49.11697798
10195,5,t30uxv,459524.535210,6881548.775057,-0.28669222,48.98881962
10196,2,t30uxv,377644.132650,6885304.861717,-1.40662584,48.98670104
10197,5,t30uxv,379116.838440,6871067.541640,-1.37576101,48.85960367
10198,4,t30uxv,429298.783549,6905716.691811,-0.71475708,49.19386146
10199,3,t30uxv,460613.266472,6895586.009371,-0.27979339,49.11533422
10200,1,t30uxv,367529.656043,6920758.004967,-1.57262319,49.29976910
10201,5,t30uxv,435186.823724,6898840.643310,-0.62973794,49.13456962
10202,2,t30uxv,460207.138997,6873793.774127,-0.27298265,48.91939855
10203,2,t30uxv,369788.597470,6916730.910982,-1.53844367,49.26479866
10204,3,t30uxv,426655.022617,6921331.656969,-0.76118122,49.33295303
10205,1,t30uxv,445874.545426,6871052.633089,-0.46672531,48.88927144
10206,5,t30uxv,443438.251128,6905905.645596,-0.52110484,49.20138072
10207,2,t30uxv,433113.638450,6872039.520078,-0.64118651,48.89297416
10208,4,t30uxv,422811.215430,6888242.035349,-0.79214111,49.03415216
10209,2,t30uxv,409352.140195,6846915.562899,-0.94772694,48.65700783
10210,2,t30uxv,367531.071718,6870674.292226,-1.53310327,48.85019807
10211,5,t30uxv,435574.129191,6887255.120339,-0.61716733,49.03067006
10212,5,t30uxv,454331.261954,6897357.226547,-0.36679314,49.12886864
10213,5,t30uxv,423508.934299,6913869.703199,-0.79946773,49.26459833
10214,3,t30uxv,467873.835425,6889887.272688,-0.17728683,49.06680680
10215,5,t30uxv,438926.113416,6913959.955364,-0.58796529,49.27188963
10216,2,t30uxv,456487.768512,6892054.487471,-0.33420760,49.08205654
10217,3,t30uxv,412403.244229,6886478.018347,-0.93309733,49.01373325
10218,2,t30uxv,375490.344540,6957399.285408,-1.49201115,49.63265315
10219,4,t30uxv,464430.756085,6878600.982418,-0.21807056,48.96415156
10220,1,t30uxv,426640.172876,6887946.075769,-0.73964546,49.03313537
10221,5,t30uxv,422707.231281,6870275.920293,-0.78179879,48.87273446
10222,1,t30uxv,461968.179618,6863388.623233,-0.24314318,48.82655716
10223,4,t30uxv,412600.327322,6889030.777727,-0.93214357,49.03674692
10224,1,t30uxv,378632.615972,6948163.574470,-1.44142333,49.55138588
10225,2,t30uxv,439494.196709,6871546.204594,-0.55395146,48.89115577
10226,3,t30uxv,457961.902621,6894507.854443,-0.31545692,49.10465366
10227,5,t30uxv,369102.422132,6941189.756601,-1.56727609,49.48392932
10228,4,t30uxv,438225.386949,6888333.846160,-0.58161874,49.04144588
10229,5,t30uxv,370182.809399,6938537.269078,-1.55028946,49.46068962
10230,1,t30uxv,435384.458607,6901393.385630,-0.62863961,49.15757808
10231,4,t30uxv,403662.165516,6873029.152979,-1.04302284,48.88898125
10232,2,t30uxv,449424.156198,6900305.608342,-0.43571611,49.15345253
10233,2,t30uxv,365764.366342,6864390.347834,-1.55220449,48.79286339
10234,4,t30uxv,414172.426818,6892761.423360,-0.91319715,49.07095178
10235,4,t30uxv,434192.487391,6869388.649915,-0.62482919,48.86960632
10237,2,t30uxv,419192.693053,6924477.913150,-0.86581768,49.35796318
10238,5,t30uxv,438902.214852,6863889.841453,-0.55731420,48.82213065
10239,1,t30uxv,433424.639710,6909249.617484,-0.66046661,49.22732001
10240,5,t30uxv,442822.745392,6848183.945346,-0.49450583,48.68258606
10241,3,t30uxv,394826.264400,6874993.994407,-1.16476603,48.90249909
10242,5,t30uxv,408961.090912,6858498.822018,-0.96091485,48.76088530
10243,5,t30uxv,368119.280415,6928419.527300,-1.57062444,49.36882992
10245,3,t30uxv,450898.384875,6902759.233061,-0.41698275,49.17606622
10246,2,t30uxv,422210.748728,6847207.968582,-0.77353635,48.66528739
10247,2,t30uxv,444401.050621,6868599.274260,-0.48532409,48.86664653
10248,3,t30uxv,470425.959501,6889689.140042,-0.14228318,49.06594474
10249,2,t30uxv,468149.738880,6860342.724423,-0.15735296,48.80143875
10250,5,t30uxv,424094.146453,6904835.282373,-0.78549108,49.18372479
10251,5,t30uxv,468270.133932,6894991.647759,-0.17467573,49.11280763
10252,5,t30uxv,409751.983427,6885398.687331,-0.96855329,49.00284779
10253,3,t30uxv,411418.263344,6873714.867477,-0.93784801,48.89866332
10254,3,t30uxv,391490.958059,6898363.751010,-1.22725527,49.11074938
10255,2,t30uxv,431547.928438,6884998.780359,-0.67073049,49.00873289
10256,4,t30uxv,420347.687330,6856337.054100,-0.80477634,48.74649967
10257,4,t30uxv,423797.969233,6901005.900748,-0.78703059,49.14920843
10258,1,t30uxv,464838.059942,6900393.547816,-0.22466352,49.16008530
10259,5,t30uxv,439420.881998,6920342.525465,-0.58515485,49.32940743
10260,2,t30uxv,395521.153615,6917316.665574,-1.18589041,49.28282907
10261,4,t30uxv,366449.265438,6923410.054515,-1.58956661,49.32300575
10262,1,t30uxv,382062.330280,6859286.077341,-1.32688059,48.75526575
10263,4,t30uxv,431942.782147,6890103.882718,-0.66857997,49.05475205
10265,4,t30uxv,371262.211758,6869103.605727,-1.48112617,48.83800967
10266,5,t30uxv,377349.497999,6881475.374175,-1.40772602,48.95217105
10267,1,t30uxv,382848.401042,6886188.387780,-1.33628984,48.99722304
10268,2,t30uxv,402388.973916,6889818.814918,-1.07216544,49.03917191
10269,5,t30uxv,462264.697833,6867216.312023,-0.24124722,48.86106121
10270,5,t30uxv,463264.647269,6896664.093376,-0.24411490,49.12600347
10271,4,t30uxv,396498.761652,6896693.521674,-1.15756125,49.09814277
10272,4,t30uxv,398260.320329,6852904.542531,-1.10233831,48.70572298
10273,3,t30uxv,440193.345564,6897168.994842,-0.56017612,49.12160418
10274,3,t30uxv,465321.672904,6890085.361463,-0.21229214,49.06765824
10275,5,t30uxv,434685.746538,6875769.296001,-0.62210062,48.92712971
10276,3,t30uxv,431153.203795,6879893.851139,-0.67287555,48.96271328
10277,2,t30uxv,375876.866318,6895713.822775,-1.43872407,49.07925932
10278,3,t30uxv,424476.248743,6876558.339760,-0.76178779,48.92992644
10279,1,t30uxv,470227.824313,6887137.057165,-0.14360235,49.04294484
10280,1,t30uxv,400131.411418,6893845.145804,-1.10586198,49.07427556
10281,2,t30uxv,378136.319194,6908382.217764,-1.41754213,49.19411823
10282,2,t30uxv,464025.815688,6856811.761432,-0.21149683,48.76821249
10283,1,t30uxv,436768.830004,6919263.895223,-0.62091195,49.31863418
10284,2,t30uxv,418001.643497,6892465.627699,-0.86065850,49.06998952
10285,5,t30uxv,365761.626629,6914471.966565,-1.59186315,49.24243340
10286,3,t30uxv,412891.481296,6876168.931335,-0.91943907,48.92136372
10287,4,t30uxv,379318.949951,6940402.600251,-1.42595208,49.48209224
10288,3,t30uxv,364681.576294,6900427.595691,-1.59545136,49.11581727
10289,1,t30uxv,443618.628322,6875078.335220,-0.49989252,48.92454391
10290,4,t30uxv,382553.478973,6848978.068054,-1.31255575,48.66293193
10291,5,t30uxv,466883.761053,6877127.095234,-0.18378561,48.95180265
10292,1,t30uxv,424983.098871,6916324.063437,-0.78085484,49.28727240
10293,4,t30uxv,446475.915168,6895398.355662,-0.47313084,49.10821496
10294,2,t30uxv,441964.050846,6903451.817970,-0.53980135,49.17874962
10295,2,t30uxv,429378.529683,6856923.720002,-0.68246127,48.75561963
10296,4,t30uxv,437336.737464,6876848.074473,-0.58662749,48.93790841
10297,5,t30uxv,387868.095361,6951305.276176,-1.31641424,49.58417639
10298,2,t30uxv,462462.423303,6869768.154564,-0.23998124,48.88406376
10299,4,t30uxv,430561.357977,6872236.774414,-0.67608295,48.89368305
10300,1,t30uxv,394240.949989,6900720.075884,-1.19135753,49.13322232
10301,3,t30uxv,409256.221613,6862327.312543,-0.95951551,48.79540789
10302,3,t30uxv,402976.285361,6880785.535104,-1.05779740,48.95832376
10303,3,t30uxv,452543.115127,6857700.555322,-0.36810152,48.77189783
10304,2,t30uxv,383044.175022,6872049.334164,-1.32304527,48.87036413
10305,1,t30uxv,433038.054610,6920837.245475,-0.67316371,49.33121372
10306,2,t30uxv,437929.095488,6884505.158966,-0.58329151,49.00693364
10307,2,t30uxv,432620.552388,6865658.986543,-0.64388994,48.83544964
10308,5,t30uxv,374011.256760,6871460.169146,-1.44553913,48.86056574
10309,1,t30uxv,441066.418385,6875275.804596,-0.53480734,48.92529591
10310,5,t30uxv,436472.041949,6915434.302957,-0.62257369,49.28412262
10311,5,t30uxv,441251.197297,6844454.887409,-0.51357863,48.64845023
10313,2,t30uxv,449695.267093,6854070.259978,-0.40468621,48.73817878
10314,5,t30uxv,463847.551345,6887632.210723,-0.23107430,49.04507837
10315,4,t30uxv,367334.923874,6868121.464938,-1.53377549,48.82717619
10316,3,t30uxv,419771.261109,6898749.081620,-0.84065083,49.12719353
10317,4,t30uxv,373814.995435,6868907.376110,-1.44625173,48.83754484
10318,3,t30uxv,465499.259315,6859264.587128,-0.19281492,48.79079189
10319,5,t30uxv,456370.764087,6857404.377198,-0.31589644,48.77069300
10320,2,t30uxv,386788.116528,6953958.147845,-1.33333041,49.60744921
10321,1,t30uxv,369493.732874,6896204.900729,-1.52633386,49.08041133
10322,5,t30uxv,408567.682358,6853394.304016,-0.96277651,48.71485482
10323,2,t30uxv,458132.700082,6847000.370070,-0.28605412,48.67786076
10324,5,t30uxv,378233.558313,6892964.132612,-1.40441917,49.05576034
10325,5,t30uxv,431640.263962,6869585.892372,-0.65970897,48.87031991
10326,2,t30uxv,396199.257767,6859481.996842,-1.13498734,48.76383482
10327,1,t30uxv,365568.291700,6861837.611027,-1.55286662,48.76984110
10328,3,t30uxv,428607.434951,6896781.768781,-0.71846056,49.11332696
10329,2,t30uxv,454519.137750,6883220.482782,-0.35599235,49.00194580
10330,3,t30uxv,449414.666507,6883615.961172,-0.42592385,49.00352817
10331,1,t30uxv,406524.014185,6926741.986191,-1.04152100,49.37258942
10332,2,t30uxv,374995.827382,6934312.746018,-1.48072702,49.42525426
10333,1,t30uxv,460881.662123,6849354.512594,-0.25006430,48.70004006
10334,2,t30uxv,370576.228436,6943645.601094,-1.54892928,49.50672853
10335,3,t30uxv,373912.760809,6886876.007917,-1.45873771,48.99892411
10336,2,t30uxv,468940.889594,6870549.556856,-0.15213621,48.89344261
10337,5,t30uxv,392470.173007,6877743.376321,-1.19885308,48.92606733
10338,3,t30uxv,392763.585927,6864881.782838,-1.18555493,48.81070458
10339,4,t30uxv,383536.437050,6895124.154910,-1.33359994,49.07778916
10340,5,t30uxv,415054.526899,6887557.287596,-0.89762618,49.02460758
10341,5,t30uxv,456289.855682,6889502.175430,-0.33543894,49.05905299
10342,3,t30uxv,374894.711453,6882948.254881,-1.44232119,48.96415856
10343,4,t30uxv,407786.319990,6876562.794890,-0.98928570,48.92260305
10344,3,t30uxv,417401.877882,6851429.650284,-0.84154659,48.70113060
10345,5,t30uxv,415732.332255,6846423.887225,-0.86088127,48.65542714
10346,5,t30uxv,414572.765488,6914560.866904,-0.92253890,49.26687778
10347,1,t30uxv,367825.333576,6874503.610492,-1.53209333,48.88473069
10348,1,t30uxv,413888.371955,6922319.551352,-0.93724093,49.33623066
10349,3,t30uxv,450987.414353,6887345.536432,-0.40664693,49.03764420
10351,3,t30uxv,369887.803111,6934706.158602,-1.55130732,49.42616018
10352,3,t30uxv,376564.714823,6904650.392110,-1.43619244,49.15982836
10353,1,t30uxv,379515.857018,6942956.712627,-1.42521359,49.50511034
10354,1,t30uxv,393371.159515,6956019.350975,-1.24396141,49.62915567
10355,5,t30uxv,385498.443338,6853886.616205,-1.27623419,48.70845673
10356,4,t30uxv,436246.188926,6846124.880550,-0.58247801,48.66143413
10357,3,t30uxv,390701.471169,6854770.100273,-1.20626350,48.71890403
10358,3,t30uxv,459128.910691,6876444.648885,-0.28918895,48.94281344
10359,1,t30uxv,382160.659377,6877253.156414,-1.33896780,48.91665568
10360,1,t30uxv,366842.279175,6895124.606688,-1.56171173,49.06934292
10361,1,t30uxv,444591.655660,6854464.847723,-0.47425372,48.73972558
10362,5,t30uxv,402383.637994,6856438.183841,-1.04883929,48.73937650
10363,5,t30uxv,383439.897627,6910542.291600,-1.34652951,49.21615253
10364,3,t30uxv,376076.046515,6931660.408240,-1.46380122,49.40200222
10365,4,t30uxv,419679.193189,6914165.988684,-0.85221061,49.26559128
10366,1,t30uxv,431160.173950,6896584.273839,-0.68340926,49.11262857
10367,5,t30uxv,435771.638045,6889807.644382,-0.61606721,49.05367872
10368,4,t30uxv,384419.766937,6889919.642227,-1.31763480,49.03149761
10369,3,t30uxv,407888.782319,6894530.650860,-1.00030560,49.08400965
10370,2,t30uxv,462000.555580,6913453.553651,-0.27094295,49.27634772
10371,3,t30uxv,372441.826474,6934509.478313,-1.51601673,49.42571260
10372,5,t30uxv,425955.954521,6895702.830775,-0.75403283,49.10250940
10373,2,t30uxv,386488.541886,6933426.808322,-1.32193493,49.42305850
10374,1,t30uxv,378036.797630,6873718.514069,-1.39246769,48.88286837
10375,2,t30uxv,448920.535765,6877235.416249,-0.42888532,48.94601407
10376,5,t30uxv,425940.254797,6845636.727117,-0.72194432,48.65276195
10377,5,t30uxv,435364.361017,6851327.116065,-0.59765622,48.70781711
10378,2,t30uxv,388054.715128,6903765.360536,-1.27825411,49.15758090
10379,3,t30uxv,380295.390201,6886384.905428,-1.37127376,48.99772232
10381,5,t30uxv,457844.147499,6859857.371946,-0.29725975,48.79329016
10382,1,t30uxv,376472.161832,6953469.159663,-1.47536945,49.59789373
