patch_id,depth_cm,ph,soc_gkg,clay_pct,sand_pct,cec_cmolkg,nitrogen_gkg,valid,confidence,source_version
10018,0-5,6.2,37.6,17.4,26.8,21.3,4.0,True,0.0756860904342181,m2_m3_auto_center_v1
10018,5-15,6.3,21.1,20.3,26.5,15.7,2.3,True,0.1279138458578339,m2_m3_auto_center_v1
10018,15-30,6.3,11.8,19.5,25.6,13.7,1.7,True,0.10452481002127083,m2_m3_auto_center_v1
10019,0-5,6.9,37.6,14.4,11.2,19.0,2.88,True,0.09813413001504201,m2_m3_auto_center_v1
10019,5-15,6.9,16.0,18.2,10.8,15.6,1.6,True,0.15196556567601732,m2_m3_auto_center_v1
10019,15-30,6.9,12.4,16.0,11.2,12.2,1.19,True,0.1488362708684049,m2_m3_auto_center_v1
10020,0-5,5.8,38.6,17.0,18.7,25.6,4.78,True,0.07740952244772084,m2_m3_auto_center_v1
10020,5-15,5.8,25.8,19.3,17.7,18.3,2.55,True,0.11767825967063965,m2_m3_auto_center_v1
10020,15-30,5.8,13.1,18.2,17.8,15.2,1.42,True,0.1061557897304904,m2_m3_auto_center_v1
10021,0-5,6.5,29.9,18.8,16.6,22.8,4.0,True,0.08886345100684034,m2_m3_auto_center_v1
10021,5-15,6.5,19.2,24.5,16.2,17.2,1.8,True,0.14364613403547047,m2_m3_auto_center_v1
10021,15-30,6.5,12.0,23.1,16.2,13.9,1.5,True,0.13191658801377165,m2_m3_auto_center_v1
10022,0-5,6.1,35.1,17.1,19.8,28.0,4.8,True,0.07705587310514005,m2_m3_auto_center_v1
10022,5-15,6.0,22.0,18.0,20.5,19.8,2.8,True,0.1256527919124405,m2_m3_auto_center_v1
10022,15-30,6.0,13.0,16.9,20.3,17.2,1.9,True,0.09638471077804776,m2_m3_auto_center_v1
10023,0-5,7.0,31.0,21.8,18.4,22.4,3.73,True,0.08738757547749637,m2_m3_auto_center_v1
10023,5-15,7.1,17.4,25.9,17.5,17.2,1.8,True,0.14089451420181276,m2_m3_auto_center_v1
10023,15-30,7.2,12.5,23.0,18.6,15.2,1.8,True,0.1369731166049959,m2_m3_auto_center_v1
10024,0-5,5.9,31.3,14.0,12.5,20.6,3.0,True,0.11282284863167398,m2_m3_auto_center_v1
10024,5-15,6.1,23.4,14.9,12.6,16.8,2.5,True,0.17478858855177487,m2_m3_auto_center_v1
10024,15-30,6.1,12.8,15.5,12.6,13.7,0.9,True,0.16219153192457875,m2_m3_auto_center_v1
10025,0-5,6.0,34.8,15.4,18.8,23.9,3.9,True,0.0833131781951339,m2_m3_auto_center_v1
10025,5-15,6.0,24.4,18.0,18.4,18.2,2.4,True,0.13809901522420553,m2_m3_auto_center_v1
10025,15-30,6.0,12.3,18.3,18.4,16.2,1.9,True,0.10803908310020248,m2_m3_auto_center_v1
10026,0-5,6.8,29.5,24.5,16.5,21.5,2.65,True,0.10362388765534948,m2_m3_auto_center_v1
10026,5-15,6.9,16.6,28.4,15.9,16.6,1.7,True,0.16167525206801894,m2_m3_auto_center_v1
10026,15-30,6.8,12.1,24.5,17.1,14.6,1.08,True,0.14493895173750543,m2_m3_auto_center_v1
10027,0-5,6.4,33.2,16.0,14.9,20.6,2.4,True,0.11443375728641171,m2_m3_auto_center_v1
10027,5-15,6.5,16.8,16.8,14.8,15.6,1.8,True,0.1661982397138565,m2_m3_auto_center_v1
10027,15-30,6.5,12.0,16.3,15.4,12.7,1.0,True,0.15875990612647445,m2_m3_auto_center_v1
10028,0-5,5.9,35.0,16.4,20.4,25.2,4.0,True,0.07833695019765231,m2_m3_auto_center_v1
10028,5-15,5.9,26.9,15.6,20.8,17.6,2.8,True,0.13100998682320988,m2_m3_auto_center_v1
10028,15-30,5.9,13.1,15.1,20.1,15.8,1.81,True,0.11690332960353939,m2_m3_auto_center_v1
10029,0-5,6.9,30.5,14.2,13.7,19.6,2.88,True,0.09382682922898287,m2_m3_auto_center_v1
10029,5-15,6.9,18.8,18.5,13.2,16.2,1.7,True,0.14972945286635578,m2_m3_auto_center_v1
10029,15-30,6.9,12.0,17.6,14.3,13.6,1.3,True,0.1445260107475096,m2_m3_auto_center_v1
10030,0-5,6.8,31.0,23.8,16.6,21.5,2.86,True,0.09354685792857594,m2_m3_auto_center_v1
10030,5-15,6.9,17.6,27.4,15.0,17.0,1.7,True,0.12543020119516524,m2_m3_auto_center_v1
10030,15-30,6.9,13.2,23.6,18.6,15.2,1.23,True,0.12420753877534296,m2_m3_auto_center_v1
10031,0-5,6.5,35.0,18.2,17.6,23.4,3.98,True,0.08255193293418353,m2_m3_auto_center_v1
10031,5-15,6.5,22.0,21.2,16.3,18.4,2.0,True,0.14807464618959706,m2_m3_auto_center_v1
10031,15-30,6.5,12.2,18.9,18.4,16.0,1.5,True,0.13229162272297418,m2_m3_auto_center_v1
10032,0-5,5.5,43.2,18.0,23.7,22.6,4.03,True,0.08135316845494511,m2_m3_auto_center_v1
10032,5-15,5.5,32.0,18.4,23.3,20.5,2.7,True,0.14004514564453574,m2_m3_auto_center_v1
10032,15-30,5.6,17.4,19.0,22.9,16.8,1.36,True,0.10978085185726827,m2_m3_auto_center_v1
10033,0-5,6.9,29.0,16.5,25.5,22.4,4.0,True,0.07016722023313615,m2_m3_auto_center_v1
10033,5-15,7.0,22.9,20.1,24.8,17.0,1.9,True,0.09291912782959404,m2_m3_auto_center_v1
10033,15-30,7.1,11.8,19.7,23.2,14.3,1.6,True,0.10533620016018767,m2_m3_auto_center_v1
10034,0-5,5.6,51.1,10.6,19.9,24.0,7.41,True,0.06594009512703097,m2_m3_auto_center_v1
10034,5-15,5.8,25.9,18.7,18.3,19.6,2.2,True,0.09994145438124817,m2_m3_auto_center_v1
10034,15-30,5.8,17.1,19.8,19.6,11.8,1.8,True,0.10014107873584399,m2_m3_auto_center_v1
10035,0-5,6.2,46.7,15.5,22.7,24.8,5.3,True,0.0672789817267645,m2_m3_auto_center_v1
10035,5-15,6.3,28.4,21.8,20.9,20.0,2.5,True,0.09777487977615018,m2_m3_auto_center_v1
10035,15-30,6.3,15.7,21.3,22.6,14.7,1.8,True,0.0860220864943664,m2_m3_auto_center_v1
10036,0-5,6.2,36.0,19.8,20.5,21.1,4.12,True,0.10094712244865656,m2_m3_auto_center_v1
10036,5-15,6.1,25.6,20.3,20.4,17.2,2.7,True,0.1579709832549584,m2_m3_auto_center_v1
10036,15-30,6.1,13.2,20.3,19.8,14.4,1.2,True,0.13742386468045817,m2_m3_auto_center_v1
10037,0-5,5.9,35.5,17.3,14.4,21.0,3.7,True,0.08399820466271153,m2_m3_auto_center_v1
10037,5-15,5.9,25.4,17.7,14.2,15.8,2.5,True,0.15638112521394892,m2_m3_auto_center_v1
10037,15-30,5.9,12.2,17.6,14.4,14.4,1.02,True,0.14021646347545277,m2_m3_auto_center_v1
10038,0-5,6.9,37.8,19.5,18.8,22.6,3.68,True,0.0818763993051891,m2_m3_auto_center_v1
10038,5-15,7.0,20.1,21.6,17.5,17.5,2.2,True,0.16004114373007947,m2_m3_auto_center_v1
10038,15-30,7.1,12.0,19.3,19.4,14.6,1.8,True,0.1303148754998673,m2_m3_auto_center_v1
10039,0-5,6.3,35.1,14.9,23.5,24.8,3.94,True,0.07649642170814983,m2_m3_auto_center_v1
10039,5-15,6.3,24.8,16.0,23.4,17.0,2.3,True,0.1218093322800525,m2_m3_auto_center_v1
10039,15-30,6.3,13.0,15.6,23.0,14.7,1.8,True,0.09415666508284498,m2_m3_auto_center_v1
10040,0-5,0.0,0.0,0.0,0.0,0.0,0.0,True,1.0,m2_m3_auto_center_v1
10040,5-15,0.0,0.0,0.0,0.0,0.0,0.0,True,1.0,m2_m3_auto_center_v1
10040,15-30,0.0,0.0,0.0,0.0,0.0,0.0,True,1.0,m2_m3_auto_center_v1
10041,0-5,5.9,37.8,16.3,23.7,25.3,4.7,True,0.076023846070299,m2_m3_auto_center_v1
10041,5-15,5.9,28.1,17.4,24.6,21.0,2.7,True,0.1261699715039266,m2_m3_auto_center_v1
10041,15-30,5.9,14.4,17.6,22.8,17.2,1.75,True,0.10732166711739906,m2_m3_auto_center_v1
10042,0-5,6.1,43.6,21.3,24.2,21.4,4.03,True,0.10277732159116745,m2_m3_auto_center_v1
10042,5-15,6.1,33.5,20.9,24.5,16.6,3.0,True,0.17836782535299206,m2_m3_auto_center_v1
10042,15-30,6.1,11.9,21.2,24.6,14.7,1.0,True,0.1520283129961112,m2_m3_auto_center_v1
10043,0-5,6.6,37.6,14.2,10.4,20.6,2.86,True,0.08665974336847852,m2_m3_auto_center_v1
10043,5-15,6.6,18.0,16.2,10.3,16.3,1.7,True,0.15790842458291982,m2_m3_auto_center_v1
10043,15-30,6.6,11.9,14.8,10.6,13.2,1.3,True,0.14364854452035175,m2_m3_auto_center_v1
10044,0-5,6.9,29.0,23.1,18.9,21.1,3.1,True,0.08402509575359461,m2_m3_auto_center_v1
10044,5-15,6.9,22.0,24.3,18.1,17.0,2.0,True,0.15194519767523443,m2_m3_auto_center_v1
10044,15-30,6.9,12.2,22.2,19.5,12.6,1.4,True,0.1374706432732108,m2_m3_auto_center_v1
10045,0-5,6.8,29.7,16.2,13.0,20.9,2.64,True,0.09651373276848434,m2_m3_auto_center_v1
10045,5-15,6.9,15.8,18.5,12.6,15.6,1.5,True,0.16788532670229253,m2_m3_auto_center_v1
10045,15-30,6.8,12.0,17.1,12.6,11.5,1.3,True,0.14928476634700244,m2_m3_auto_center_v1
10046,0-5,6.4,29.0,21.0,16.6,20.4,2.16,True,0.1115615464815153,m2_m3_auto_center_v1
10046,5-15,6.5,16.0,20.6,17.0,15.1,1.7,True,0.18282847700659657,m2_m3_auto_center_v1
10046,15-30,6.5,12.3,20.9,17.5,12.8,1.0,True,0.17067125461227894,m2_m3_auto_center_v1
10047,0-5,6.9,30.1,14.2,14.3,21.5,3.1,True,0.09817726321664316,m2_m3_auto_center_v1
10047,5-15,7.1,19.0,18.5,13.7,16.6,1.7,True,0.15519949295211907,m2_m3_auto_center_v1
10047,15-30,7.2,12.0,18.6,14.5,14.3,1.3,True,0.1313964014354741,m2_m3_auto_center_v1
10048,0-5,6.3,30.8,18.5,18.9,21.3,3.3,True,0.08170793083835386,m2_m3_auto_center_v1
10048,5-15,6.2,19.1,22.3,18.1,15.8,1.8,True,0.13125589782602926,m2_m3_auto_center_v1
10048,15-30,6.3,11.9,24.5,19.1,11.8,1.2,True,0.13513170537795074,m2_m3_auto_center_v1
10049,0-5,5.8,37.3,19.8,21.4,21.1,4.03,True,0.09179255261892778,m2_m3_auto_center_v1
10049,5-15,5.9,32.4,19.5,22.4,16.8,2.9,True,0.15709184286048908,m2_m3_auto_center_v1
10049,15-30,5.9,14.6,20.3,23.2,15.2,1.0,True,0.15108412945179983,m2_m3_auto_center_v1
10050,0-5,0.0,0.0,0.0,0.0,0.0,0.0,True,1.0,m2_m3_auto_center_v1
10050,5-15,0.0,0.0,0.0,0.0,0.0,0.0,True,1.0,m2_m3_auto_center_v1
10050,15-30,0.0,0.0,0.0,0.0,0.0,0.0,True,1.0,m2_m3_auto_center_v1
10051,0-5,6.9,29.1,19.8,20.8,21.2,3.45,True,0.08861573142810594,m2_m3_auto_center_v1
10051,5-15,7.1,15.6,23.7,19.2,18.0,1.6,True,0.1506002665225572,m2_m3_auto_center_v1
10051,15-30,7.0,12.0,23.0,19.4,14.6,1.4,True,0.13865359851023062,m2_m3_auto_center_v1
10052,0-5,6.3,35.0,18.2,22.1,21.7,4.0,True,0.0848479231354019,m2_m3_auto_center_v1
10052,5-15,6.2,22.9,22.5,20.4,17.2,2.33,True,0.1223187910257369,m2_m3_auto_center_v1
10052,15-30,6.2,12.1,22.4,20.5,14.5,1.7,True,0.09884983414622812,m2_m3_auto_center_v1
10053,0-5,6.9,34.4,21.8,16.4,21.0,2.8,True,0.09404394620648275,m2_m3_auto_center_v1
10053,5-15,7.1,16.5,23.1,15.5,15.6,1.5,True,0.15428932088644612,m2_m3_auto_center_v1
10053,15-30,6.9,11.8,23.5,17.3,13.5,1.1,True,0.1319829157519238,m2_m3_auto_center_v1
10054,0-5,6.4,29.9,17.3,12.8,19.6,3.0,True,0.10968925400423751,m2_m3_auto_center_v1
10054,5-15,6.5,16.5,19.3,11.8,15.0,1.7,True,0.17907101232541978,m2_m3_auto_center_v1
10054,15-30,6.5,13.0,19.2,12.7,12.4,1.23,True,0.16389154465302955,m2_m3_auto_center_v1
10055,0-5,6.6,30.1,16.3,18.8,20.2,2.7,True,0.10145340706803196,m2_m3_auto_center_v1
10055,5-15,6.8,18.3,16.9,18.4,15.4,1.8,True,0.16915110485439264,m2_m3_auto_center_v1
10055,15-30,6.7,13.0,17.4,18.8,12.4,1.0,True,0.1595031392373304,m2_m3_auto_center_v1
10056,0-5,7.5,29.0,22.0,9.4,17.4,2.65,True,0.10576972129202603,m2_m3_auto_center_v1
10056,5-15,7.5,19.1,22.5,9.1,15.4,1.8,True,0.18952680596975913,m2_m3_auto_center_v1
10056,15-30,7.5,11.9,22.0,9.6,12.6,1.29,True,0.15039198134990178,m2_m3_auto_center_v1
10057,0-5,6.6,31.0,16.6,18.5,22.6,3.0,True,0.08618924996413997,m2_m3_auto_center_v1
10057,5-15,6.8,16.8,21.6,17.5,18.4,1.6,True,0.1344714959316548,m2_m3_auto_center_v1
10057,15-30,6.7,12.3,18.8,18.5,15.6,1.35,True,0.13218864519090384,m2_m3_auto_center_v1
10058,0-5,5.7,41.3,14.9,19.2,24.0,3.65,True,0.0760993276306956,m2_m3_auto_center_v1
10058,5-15,5.8,30.7,18.3,18.9,20.0,2.8,True,0.14194953951792552,m2_m3_auto_center_v1
10058,15-30,5.8,14.8,18.4,19.4,16.5,1.1,True,0.12929764745110628,m2_m3_auto_center_v1
10059,0-5,6.4,30.7,15.8,14.7,22.6,2.9,True,0.09410018899552024,m2_m3_auto_center_v1
10059,5-15,6.5,16.3,20.5,13.9,17.2,1.8,True,0.17161097990164362,m2_m3_auto_center_v1
10059,15-30,6.5,12.1,22.1,14.0,14.4,1.1,True,0.16002640071426133,m2_m3_auto_center_v1
10060,0-5,5.8,44.8,14.6,27.6,26.5,6.0,True,0.06838718598973227,m2_m3_auto_center_v1
10060,5-15,6.0,34.1,15.9,26.2,20.0,3.1,True,0.10550578892804276,m2_m3_auto_center_v1
10060,15-30,6.0,17.9,16.5,25.7,16.5,2.1,True,0.08262345387345289,m2_m3_auto_center_v1
10061,0-5,5.7,36.9,16.5,19.7,22.6,4.02,True,0.08338729740772961,m2_m3_auto_center_v1
10061,5-15,5.8,26.5,18.0,20.4,17.4,2.9,True,0.14586610166986191,m2_m3_auto_center_v1
10061,15-30,5.8,12.7,18.0,20.6,15.1,1.0,True,0.1485076287558452,m2_m3_auto_center_v1
10062,0-5,6.2,36.2,20.0,20.2,21.1,4.0,True,0.0858944538807546,m2_m3_auto_center_v1
10062,5-15,6.3,23.2,24.2,19.4,15.9,2.3,True,0.1354818452896109,m2_m3_auto_center_v1
10062,15-30,6.3,11.9,24.7,20.2,12.0,2.0,True,0.12231347234893801,m2_m3_auto_center_v1
10063,0-5,6.6,31.1,14.9,16.6,21.1,3.1,True,0.08744684800663344,m2_m3_auto_center_v1
10063,5-15,6.7,17.6,15.0,16.5,13.3,1.8,True,0.16534904902683883,m2_m3_auto_center_v1
10063,15-30,6.7,13.1,15.7,16.7,11.1,1.1,True,0.15314429017514453,m2_m3_auto_center_v1
10064,0-5,6.1,35.9,15.3,13.0,20.6,3.35,True,0.08613228804620991,m2_m3_auto_center_v1
10064,5-15,6.1,20.3,18.2,12.3,14.4,2.25,True,0.15903583412067823,m2_m3_auto_center_v1
10064,15-30,6.1,13.0,16.8,13.0,13.1,1.6,True,0.13785194526260733,m2_m3_auto_center_v1
10065,0-5,6.1,38.4,16.8,20.0,24.0,3.0,True,0.09597126282751596,m2_m3_auto_center_v1
10065,5-15,6.1,29.3,17.4,20.0,19.2,2.5,True,0.17296963738622595,m2_m3_auto_center_v1
10065,15-30,6.1,13.0,18.8,21.2,15.6,1.1,True,0.14350831986457835,m2_m3_auto_center_v1
10066,0-5,6.6,37.0,13.8,12.5,19.8,2.4,True,0.09039998126581507,m2_m3_auto_center_v1
10066,5-15,6.7,21.5,14.3,12.1,15.2,1.9,True,0.16210840253871003,m2_m3_auto_center_v1
10066,15-30,6.7,12.4,14.2,12.5,12.4,1.02,True,0.16208600435343806,m2_m3_auto_center_v1
10067,0-5,6.5,38.4,15.5,22.3,23.2,4.44,True,0.06780159184076065,m2_m3_auto_center_v1
10067,5-15,6.6,21.3,16.3,22.1,18.0,2.0,True,0.1285714654179466,m2_m3_auto_center_v1
10067,15-30,6.6,13.0,15.9,22.4,15.4,1.75,True,0.11399462500369262,m2_m3_auto_center_v1
10068,0-5,6.8,36.9,14.8,14.3,18.4,3.51,True,0.08849892771512011,m2_m3_auto_center_v1
10068,5-15,7.0,16.9,16.1,14.1,12.4,1.75,True,0.1555494321730534,m2_m3_auto_center_v1
10068,15-30,6.9,11.8,14.6,14.7,10.6,1.07,True,0.1544613096569028,m2_m3_auto_center_v1
10069,0-5,6.2,36.9,13.9,20.3,23.8,3.7,True,0.07833154298830666,m2_m3_auto_center_v1
10069,5-15,6.3,22.9,15.9,19.2,18.4,2.3,True,0.11784998815810857,m2_m3_auto_center_v1
10069,15-30,6.3,13.7,15.5,18.9,14.0,1.45,True,0.10391061822639315,m2_m3_auto_center_v1
10070,0-5,5.9,34.2,14.1,24.0,25.8,4.01,True,0.07840432767371835,m2_m3_auto_center_v1
10070,5-15,5.9,25.1,14.9,24.1,18.2,2.9,True,0.13322584165207216,m2_m3_auto_center_v1
10070,15-30,5.9,13.1,17.0,23.0,15.3,2.0,True,0.10349258500620491,m2_m3_auto_center_v1
10071,0-5,6.1,35.0,17.7,10.1,21.2,3.5,True,0.10541101017830662,m2_m3_auto_center_v1
10071,5-15,6.1,23.0,19.3,9.7,16.8,2.5,True,0.1500896336222738,m2_m3_auto_center_v1
10071,15-30,6.1,13.0,18.3,10.4,14.4,1.1,True,0.1517592104621178,m2_m3_auto_center_v1
10072,0-5,6.9,35.7,21.1,18.4,19.6,2.42,True,0.09248304033535783,m2_m3_auto_center_v1
10072,5-15,7.3,17.6,22.2,17.9,16.0,1.5,True,0.14784565899796842,m2_m3_auto_center_v1
10072,15-30,7.3,12.0,22.2,18.3,13.7,1.1,True,0.13505639179271978,m2_m3_auto_center_v1
10073,0-5,6.2,37.9,15.5,21.0,23.2,4.84,True,0.0797757174360194,m2_m3_auto_center_v1
10073,5-15,6.2,26.6,18.8,20.4,17.3,2.7,True,0.1284032267829381,m2_m3_auto_center_v1
10073,15-30,6.3,12.3,19.0,20.5,14.5,1.54,True,0.10706235357640534,m2_m3_auto_center_v1
10074,0-5,5.5,41.1,18.0,23.3,21.1,4.02,True,0.08743210654908636,m2_m3_auto_center_v1
10074,5-15,5.5,32.1,17.7,23.6,16.6,2.7,True,0.14913420788481735,m2_m3_auto_center_v1
10074,15-30,5.5,17.4,17.8,24.1,15.2,1.2,True,0.14153947024055585,m2_m3_auto_center_v1
10075,0-5,6.0,46.9,15.9,15.4,21.2,3.9,True,0.07857101024268869,m2_m3_auto_center_v1
10075,5-15,6.1,28.1,17.6,14.9,15.0,2.9,True,0.13333212687096044,m2_m3_auto_center_v1
10075,15-30,6.1,12.2,16.0,14.5,12.8,1.75,True,0.13127236516778587,m2_m3_auto_center_v1
10076,0-5,6.9,29.7,17.9,19.0,21.3,3.0,True,0.1003566579217196,m2_m3_auto_center_v1
10076,5-15,6.9,16.5,21.5,18.9,16.2,1.6,True,0.16670269185834016,m2_m3_auto_center_v1
10076,15-30,6.9,12.0,16.6,18.4,13.8,1.27,True,0.14288183268977178,m2_m3_auto_center_v1
10077,0-5,6.6,30.0,16.4,16.4,21.1,3.85,True,0.08779761362524102,m2_m3_auto_center_v1
10077,5-15,6.6,15.2,18.9,15.8,15.8,1.65,True,0.16120351071738692,m2_m3_auto_center_v1
10077,15-30,6.6,11.8,20.1,16.5,12.8,1.45,True,0.14669440906402428,m2_m3_auto_center_v1
10078,0-5,6.2,36.4,15.4,10.8,20.4,2.88,True,0.12036743204286732,m2_m3_auto_center_v1
10078,5-15,6.2,20.4,17.0,11.1,16.4,2.5,True,0.17516043689853397,m2_m3_auto_center_v1
10078,15-30,6.2,12.8,20.7,11.6,13.9,1.0,True,0.1557435349618127,m2_m3_auto_center_v1
10079,0-5,6.0,36.5,20.1,20.5,21.1,3.45,True,0.10834399178753,m2_m3_auto_center_v1
10079,5-15,6.0,26.1,20.7,20.4,17.2,2.7,True,0.17532992101315764,m2_m3_auto_center_v1
10079,15-30,6.1,14.6,20.3,21.2,15.2,1.14,True,0.1557072256508437,m2_m3_auto_center_v1
10080,0-5,6.2,48.6,16.6,21.3,23.6,4.96,True,0.06761630988719805,m2_m3_auto_center_v1
10080,5-15,6.3,25.7,25.9,19.4,18.8,2.5,True,0.09805400692226145,m2_m3_auto_center_v1
10080,15-30,6.3,15.5,26.3,20.4,14.6,1.8,True,0.08436203830144806,m2_m3_auto_center_v1
10081,0-5,6.4,30.1,20.0,15.4,20.0,3.0,True,0.09112700159412186,m2_m3_auto_center_v1
10081,5-15,6.4,17.8,21.5,15.0,15.7,1.8,True,0.157047453159604,m2_m3_auto_center_v1
10081,15-30,6.4,12.0,21.0,15.3,12.8,1.6,True,0.14286457243188996,m2_m3_auto_center_v1
10082,0-5,6.9,40.1,19.6,16.5,20.2,2.05,True,0.10552827979625537,m2_m3_auto_center_v1
10082,5-15,6.9,18.5,21.6,16.2,15.6,1.8,True,0.16385681917494738,m2_m3_auto_center_v1
